,NOME_PRODUTO,NM_CLIENTE,forecast_1,forecast_2,forecast_3
354,"ML Road Frame-W - Yellow, 48",Exhilarating Cycles,2.0,2.0,2.0
355,"ML Road Frame-W - Yellow, 48",Friendly Bike Shop,4.6,4.4,4.2
356,"ML Road Frame-W - Yellow, 48",Riders Company,3.2,3.4,3.5
357,"ML Road Frame-W - Yellow, 48",Outdoor Equipment Store,3.0,3.0,3.0
358,"ML Road Frame-W - Yellow, 48",Bike Dealers Association,2.1,2.2,2.3
359,"ML Road Frame-W - Yellow, 48",Fitness Toy Store,3.5,3.3,3.2
360,"ML Road Frame-W - Yellow, 48",Prosperous Tours,1.3,1.5,1.7
361,"Road-250 Black, 44",Eastside Department Store,3.5,3.9,4.2
362,"Road-250 Black, 44",Farthermost Bike Shop,3.0,2.9,2.9
363,"Road-250 Black, 44",Mountain Bike Center,3.0,3.0,3.0
364,"Road-250 Black, 44",Quantity Discounts,2.9,2.7,2.7
365,"Road-250 Black, 44",Citywide Service and Repair,1.3,1.5,1.7
366,"Road-250 Black, 44",Corner Bicycle Supply,1.6,2.0,2.2
367,"Road-250 Black, 44",Custom Accessories Company,2.0,2.7,3.1
368,"Road-250 Black, 44",General Supplies,1.2,1.3,1.4
369,"Road-250 Black, 44","Health Spa, Limited",1.6,2.1,2.5
370,"Road-250 Black, 44",Retail Mall,5.1,5.2,5.3
371,"Road-250 Black, 44",Rewarding Activities Company,2.3,2.4,2.5
372,"Road-250 Black, 44",Sundry Sporting Goods,2.3,2.4,2.5
373,"Road-250 Black, 44",Futuristic Sport Distributors,2.1,2.2,2.3
374,"Road-250 Black, 44",Reasonable Bicycle Sales,4.0,4.0,4.0
375,"Road-250 Black, 44",Lease-a-Bike Shop,2.1,2.3,2.4
376,"Road-250 Black, 44",Rally Day Mall,2.2,2.3,2.3
377,"Road-250 Black, 44",Getaway Inn,1.3,1.6,1.7
378,"Road-250 Black, 44",Metropolitan Equipment,2.7,3.2,3.6
379,"Road-250 Black, 44",Racing Sales and Service,4.5,4.2,4.0
380,"Road-250 Black, 44",Exhilarating Cycles,1.5,1.7,1.9
381,"Road-250 Black, 44",Friendly Bike Shop,6.6,6.3,6.1
382,"Road-250 Black, 44",Riders Company,2.1,2.2,2.3
383,"Road-250 Black, 44",First Bike Store,4.6,4.4,4.1
384,"Road-250 Black, 44",Outdoor Equipment Store,4.1,4.9,5.5
385,"Road-250 Black, 44",Seventh Bike Store,1.5,1.9,2.1
386,"Road-250 Black, 44",Bike Dealers Association,2.0,2.0,2.0
387,"Road-250 Black, 44",New and Used Bicycles,1.2,1.4,1.4
388,"Road-250 Black, 44",Bike Boutique,3.9,3.9,3.8
389,"Road-250 Black, 44",Excellent Riding Supplies,4.6,4.4,4.2
390,"Road-250 Black, 44",Fitness Toy Store,3.4,3.7,3.9
391,"Road-250 Black, 44",Modular Cycle Systems,3.3,3.6,3.8
392,"Road-250 Black, 44",Sheet Metal Manufacturing,2.2,2.3,2.4
393,"Road-250 Black, 44",Totes & Baskets Company,4.4,4.1,3.9
394,"Road-250 Black, 44",Bulk Discount Store,3.1,3.1,3.2
395,"Road-250 Black, 44",Prosperous Tours,2.1,2.2,2.2
396,"Road-250 Black, 44",Mail-Order Outlet,1.3,1.5,1.7
397,"Road-250 Black, 44",Thorough Parts and Repair Services,6.3,5.7,5.4
398,"Road-250 Black, 44",Good Bike Shop,1.9,1.9,1.9
399,"Road-250 Black, 48",Farthermost Bike Shop,2.1,2.2,2.3
400,"Road-250 Black, 48",Mountain Bike Center,3.8,3.2,3.0
401,"Road-250 Black, 48",Number 1 Supply,2.0,2.0,2.1
402,"Road-250 Black, 48",Quantity Discounts,1.6,2.0,2.2
403,"Road-250 Black, 48",Citywide Service and Repair,2.1,2.2,2.2
404,"Road-250 Black, 48",Corner Bicycle Supply,1.9,2.4,2.7
405,"Road-250 Black, 48",Finer Riding Supplies,3.3,3.0,2.8
406,"Road-250 Black, 48",General Supplies,1.3,1.5,1.7
407,"Road-250 Black, 48","Health Spa, Limited",2.4,2.6,2.8
408,"Road-250 Black, 48",Retail Mall,4.1,4.2,4.2
409,"Road-250 Black, 48",Sundry Sporting Goods,1.3,1.5,1.6
410,"Road-250 Black, 48",Reasonable Bicycle Sales,2.9,3.4,3.7
411,"Road-250 Black, 48",Lease-a-Bike Shop,1.3,1.6,1.8
412,"Road-250 Black, 48",Getaway Inn,1.4,1.6,1.8
413,"Road-250 Black, 48",Metropolitan Equipment,2.5,2.9,3.2
414,"Road-250 Black, 48",Racing Sales and Service,3.8,3.6,3.5
415,"Road-250 Black, 48",Friendly Bike Shop,6.7,5.8,5.2
416,"Road-250 Black, 48",First Bike Store,4.0,3.9,3.9
417,"Road-250 Black, 48",Outdoor Equipment Store,6.0,6.0,6.0
418,"Road-250 Black, 48",Seventh Bike Store,3.0,2.9,2.9
419,"Road-250 Black, 48",Bike Dealers Association,2.1,2.2,2.3
420,"Road-250 Black, 48",Larger Cycle Shop,2.0,2.0,2.1
421,"Road-250 Black, 48",New and Used Bicycles,2.4,2.6,2.6
422,"Road-250 Black, 48",Bike Boutique,2.2,2.3,2.4
423,"Road-250 Black, 48",Convenient Sales and Service,1.2,1.4,1.6
424,"Road-250 Black, 48",Excellent Riding Supplies,4.8,4.6,4.5
425,"Road-250 Black, 48",Advanced Bike Components,1.1,1.2,1.3
426,"Road-250 Black, 48",Fitness Toy Store,3.3,3.5,3.6
427,"Road-250 Black, 48",Modular Cycle Systems,3.3,3.5,3.6
428,"Road-250 Black, 48",Sheet Metal Manufacturing,3.2,3.3,3.4
429,"Road-250 Black, 48",Totes & Baskets Company,3.2,3.4,3.4
430,"Road-250 Black, 48",Bulk Discount Store,6.6,6.3,6.0
431,"Road-250 Black, 48",Prosperous Tours,1.9,1.8,1.7
432,"Road-250 Black, 48",Uttermost Bike Shop,1.3,1.5,1.7
433,"Road-250 Black, 48",Mail-Order Outlet,2.9,2.9,2.9
434,"Road-250 Black, 48",Thorough Parts and Repair Services,5.3,4.9,4.7
435,"Road-250 Black, 48",Good Bike Shop,2.1,2.1,2.1
436,"Road-250 Black, 52",Farthermost Bike Shop,2.4,2.6,2.8
437,"Road-250 Black, 52",Mountain Bike Center,4.7,4.5,4.3
438,"Road-250 Black, 52",Quantity Discounts,3.0,2.9,2.9
439,"Road-250 Black, 52",Corner Bicycle Supply,4.3,5.0,5.3
440,"Road-250 Black, 52",General Supplies,2.9,2.3,2.1
441,"Road-250 Black, 52","Health Spa, Limited",2.1,2.2,2.3
442,"Road-250 Black, 52",Retail Mall,1.7,2.1,2.4
443,"Road-250 Black, 52",Sundry Sporting Goods,1.3,1.5,1.7
444,"Road-250 Black, 52",Reasonable Bicycle Sales,3.8,3.7,3.6
445,"Road-250 Black, 52",Metropolitan Equipment,2.1,2.2,2.2
446,"Road-250 Black, 52",Riders Company,1.3,1.5,1.7
447,"Road-250 Black, 52",First Bike Store,3.2,3.4,3.5
448,"Road-250 Black, 52",Seventh Bike Store,2.0,2.0,2.0
449,"Road-250 Black, 52",New and Used Bicycles,1.3,1.5,1.6
450,"Road-250 Black, 52",Every Bike Shop,1.1,1.2,1.3
451,"Road-250 Black, 52",Excellent Riding Supplies,3.2,3.4,3.5
452,"Road-250 Black, 52",Modular Cycle Systems,3.3,3.5,3.7
453,"Road-250 Black, 52",Sheet Metal Manufacturing,3.8,3.8,3.7
454,"Road-250 Black, 52",Totes & Baskets Company,4.6,4.4,4.3
455,"Road-250 Black, 52",Bulk Discount Store,5.1,4.5,4.1
456,"Road-250 Black, 52",Uttermost Bike Shop,2.2,2.3,2.4
457,"Road-250 Black, 52",Mail-Order Outlet,1.3,1.4,1.5
458,"Road-250 Black, 52",Thorough Parts and Repair Services,4.0,3.9,3.9
459,"Road-250 Black, 52",Good Bike Shop,1.5,1.9,2.1
460,"Road-250 Black, 58",Farthermost Bike Shop,1.4,1.7,2.0
461,"Road-250 Black, 58",Mountain Bike Center,3.1,3.2,3.3
462,"Road-250 Black, 58",Quantity Discounts,2.0,1.9,1.9
463,"Road-250 Black, 58",Corner Bicycle Supply,5.9,5.8,5.7
464,"Road-250 Black, 58",General Supplies,1.1,1.1,1.1
465,"Road-250 Black, 58",Sundry Sporting Goods,2.9,2.3,2.1
466,"Road-250 Black, 58",Reasonable Bicycle Sales,3.6,3.3,3.1
467,"Road-250 Black, 58",Riders Company,2.2,2.4,2.5
468,"Road-250 Black, 58",First Bike Store,4.6,4.4,4.3
469,"Road-250 Black, 58",Seventh Bike Store,2.4,2.1,1.9
470,"Road-250 Black, 58",New and Used Bicycles,1.3,1.5,1.7
471,"Road-250 Black, 58",Excellent Riding Supplies,6.8,6.7,6.5
472,"Road-250 Black, 58",Modular Cycle Systems,3.5,3.8,3.9
473,"Road-250 Black, 58",Sheet Metal Manufacturing,3.7,3.6,3.4
474,"Road-250 Black, 58",Totes & Baskets Company,4.2,4.3,4.5
475,"Road-250 Black, 58",Bulk Discount Store,3.1,3.2,3.3
476,"Road-250 Black, 58",Uttermost Bike Shop,1.2,1.4,1.4
477,"Road-250 Black, 58",Mail-Order Outlet,1.7,2.1,2.4
478,"Road-250 Black, 58",Thorough Parts and Repair Services,4.3,3.9,3.6
479,"Road-250 Black, 58",Good Bike Shop,3.0,2.9,2.9
480,"Road-250 Red, 58",Farthermost Bike Shop,2.1,2.2,2.3
481,"Road-250 Red, 58",Mountain Bike Center,4.9,4.7,4.6
482,"Road-250 Red, 58",Quantity Discounts,3.0,3.1,3.1
483,"Road-250 Red, 58",Corner Bicycle Supply,3.9,3.8,3.7
484,"Road-250 Red, 58",General Supplies,2.8,2.6,2.5
485,"Road-250 Red, 58",Sundry Sporting Goods,1.3,1.5,1.7
486,"Road-250 Red, 58",Reasonable Bicycle Sales,2.4,2.7,2.8
487,"Road-250 Red, 58",Riders Company,1.2,1.4,1.5
488,"Road-250 Red, 58",First Bike Store,4.8,4.6,4.5
489,"Road-250 Red, 58",Seventh Bike Store,1.2,1.3,1.4
490,"Road-250 Red, 58",New and Used Bicycles,3.6,3.3,3.1
491,"Road-250 Red, 58",Excellent Riding Supplies,5.3,5.0,4.8
492,"Road-250 Red, 58",Modular Cycle Systems,2.3,2.5,2.7
493,"Road-250 Red, 58",Sheet Metal Manufacturing,3.9,3.8,3.8
494,"Road-250 Red, 58",Totes & Baskets Company,4.1,4.1,4.1
495,"Road-250 Red, 58",Bulk Discount Store,2.9,2.9,2.8
496,"Road-250 Red, 58",Uttermost Bike Shop,2.2,2.3,2.3
497,"Road-250 Red, 58",Mail-Order Outlet,2.7,3.3,3.7
498,"Road-250 Red, 58",Thorough Parts and Repair Services,6.7,6.5,6.2
499,"Road-250 Red, 58",Good Bike Shop,2.1,2.1,2.1
500,"Road-550-W Yellow, 38",Eastside Department Store,4.4,4.6,4.8
501,"Road-550-W Yellow, 38",Farthermost Bike Shop,2.4,2.6,2.8
502,"Road-550-W Yellow, 38",Mountain Bike Center,6.5,6.1,5.7
503,"Road-550-W Yellow, 38",Number 1 Supply,3.3,2.9,2.7
504,"Road-550-W Yellow, 38",Quantity Discounts,1.5,1.8,1.9
505,"Road-550-W Yellow, 38",Citywide Service and Repair,1.2,1.4,1.6
506,"Road-550-W Yellow, 38",Corner Bicycle Supply,3.9,3.9,3.9
507,"Road-550-W Yellow, 38",Custom Accessories Company,2.8,2.7,2.6
508,"Road-550-W Yellow, 38",General Supplies,1.4,1.7,1.9
509,"Road-550-W Yellow, 38","Health Spa, Limited",1.9,2.5,2.9
510,"Road-550-W Yellow, 38",Retail Mall,4.4,4.6,4.8
511,"Road-550-W Yellow, 38",Rewarding Activities Company,1.7,2.1,2.4
512,"Road-550-W Yellow, 38",Sundry Sporting Goods,1.3,1.6,1.7
513,"Road-550-W Yellow, 38",Futuristic Sport Distributors,3.6,3.3,3.1
514,"Road-550-W Yellow, 38",Reasonable Bicycle Sales,3.6,4.0,4.3
515,"Road-550-W Yellow, 38",Lease-a-Bike Shop,2.2,2.3,2.3
516,"Road-550-W Yellow, 38",Rally Day Mall,2.0,2.7,3.2
517,"Road-550-W Yellow, 38",Getaway Inn,3.0,2.9,2.9
518,"Road-550-W Yellow, 38",Metropolitan Equipment,4.3,4.5,4.5
519,"Road-550-W Yellow, 38",Racing Sales and Service,3.9,3.8,3.7
520,"Road-550-W Yellow, 38",Exhilarating Cycles,1.6,2.1,2.3
521,"Road-550-W Yellow, 38",Friendly Bike Shop,5.1,5.3,5.4
522,"Road-550-W Yellow, 38",Riders Company,1.5,1.8,1.9
523,"Road-550-W Yellow, 38",First Bike Store,2.2,2.7,3.0
524,"Road-550-W Yellow, 38",Outdoor Equipment Store,5.4,5.7,5.9
525,"Road-550-W Yellow, 38",Seventh Bike Store,1.5,1.8,2.0
526,"Road-550-W Yellow, 38",Bike Dealers Association,2.1,2.2,2.3
527,"Road-550-W Yellow, 38",Larger Cycle Shop,2.3,2.5,2.6
528,"Road-550-W Yellow, 38",New and Used Bicycles,2.5,2.2,2.0
529,"Road-550-W Yellow, 38",Bike Boutique,2.6,3.0,3.2
530,"Road-550-W Yellow, 38",Excellent Riding Supplies,4.1,4.2,4.3
531,"Road-550-W Yellow, 38",Advanced Bike Components,1.5,1.9,2.1
532,"Road-550-W Yellow, 38",Fitness Toy Store,5.4,5.0,4.8
533,"Road-550-W Yellow, 38",Modular Cycle Systems,2.8,3.2,3.5
534,"Road-550-W Yellow, 38",Sheet Metal Manufacturing,5.4,5.0,4.7
535,"Road-550-W Yellow, 38",Totes & Baskets Company,3.2,3.4,3.5
536,"Road-550-W Yellow, 38",Bulk Discount Store,4.5,4.3,4.1
537,"Road-550-W Yellow, 38",Prosperous Tours,1.6,1.8,2.0
538,"Road-550-W Yellow, 38",Uttermost Bike Shop,2.7,2.5,2.3
539,"Road-550-W Yellow, 38",Sales and Supply Company,4.2,4.3,4.3
540,"Road-550-W Yellow, 38",Mail-Order Outlet,4.1,4.2,4.3
541,"Road-550-W Yellow, 38",Thorough Parts and Repair Services,6.1,5.6,5.3
542,"Road-550-W Yellow, 38",Good Bike Shop,2.0,1.9,1.9
543,"Road-550-W Yellow, 40",Eastside Department Store,1.9,2.5,3.0
544,"Road-550-W Yellow, 40",Farthermost Bike Shop,1.5,1.9,2.2
545,"Road-550-W Yellow, 40",Mountain Bike Center,3.9,3.4,3.2
546,"Road-550-W Yellow, 40",Number 1 Supply,1.7,2.2,2.5
547,"Road-550-W Yellow, 40",Quantity Discounts,1.5,1.8,2.0
548,"Road-550-W Yellow, 40",Citywide Service and Repair,2.0,2.0,2.0
549,"Road-550-W Yellow, 40",Corner Bicycle Supply,3.8,3.6,3.4
550,"Road-550-W Yellow, 40",Finer Riding Supplies,2.1,2.2,2.3
551,"Road-550-W Yellow, 40",General Supplies,2.7,3.1,3.4
552,"Road-550-W Yellow, 40","Health Spa, Limited",2.9,2.8,2.7
553,"Road-550-W Yellow, 40",Retail Mall,2.0,2.6,3.0
554,"Road-550-W Yellow, 40",Sundry Sporting Goods,1.4,1.7,1.9
555,"Road-550-W Yellow, 40",Futuristic Sport Distributors,2.1,2.5,2.6
556,"Road-550-W Yellow, 40",Reasonable Bicycle Sales,4.8,4.6,4.5
557,"Road-550-W Yellow, 40",Lease-a-Bike Shop,1.9,2.5,2.9
558,"Road-550-W Yellow, 40",Rally Day Mall,2.1,2.2,2.2
559,"Road-550-W Yellow, 40",Getaway Inn,1.1,1.2,1.4
560,"Road-550-W Yellow, 40",Metropolitan Equipment,6.4,6.0,5.8
561,"Road-550-W Yellow, 40",Exhilarating Cycles,1.0,1.1,1.0
562,"Road-550-W Yellow, 40",Friendly Bike Shop,3.6,3.4,3.3
563,"Road-550-W Yellow, 40",Riders Company,2.9,2.8,2.7
564,"Road-550-W Yellow, 40",First Bike Store,3.3,3.5,3.6
565,"Road-550-W Yellow, 40",Outdoor Equipment Store,5.6,5.4,5.3
566,"Road-550-W Yellow, 40",Seventh Bike Store,3.4,3.0,2.8
567,"Road-550-W Yellow, 40",Bike Dealers Association,2.8,2.6,2.5
568,"Road-550-W Yellow, 40",Larger Cycle Shop,2.9,2.8,2.8
569,"Road-550-W Yellow, 40",New and Used Bicycles,1.4,1.6,1.7
570,"Road-550-W Yellow, 40",Bike Boutique,2.2,2.4,2.5
571,"Road-550-W Yellow, 40",Convenient Sales and Service,1.4,1.7,1.8
572,"Road-550-W Yellow, 40",Excellent Riding Supplies,4.2,4.3,4.4
573,"Road-550-W Yellow, 40",Advanced Bike Components,1.4,1.7,1.9
574,"Road-550-W Yellow, 40",Fitness Toy Store,4.0,4.0,4.0
575,"Road-550-W Yellow, 40",Modular Cycle Systems,3.7,3.5,3.4
576,"Road-550-W Yellow, 40",Sheet Metal Manufacturing,4.7,4.6,4.5
577,"Road-550-W Yellow, 40",Totes & Baskets Company,3.1,3.1,3.1
578,"Road-550-W Yellow, 40",Bulk Discount Store,4.7,4.4,4.2
579,"Road-550-W Yellow, 40",Prosperous Tours,2.2,2.3,2.4
580,"Road-550-W Yellow, 40",Uttermost Bike Shop,1.3,1.4,1.6
581,"Road-550-W Yellow, 40",Mail-Order Outlet,1.3,1.6,1.9
582,"Road-550-W Yellow, 40",Thorough Parts and Repair Services,4.5,4.2,4.1
583,"Road-550-W Yellow, 40",Good Bike Shop,1.3,1.5,1.6
584,"Road-550-W Yellow, 42",Farthermost Bike Shop,3.0,3.0,2.9
585,"Road-550-W Yellow, 42",Mountain Bike Center,3.3,3.4,3.5
586,"Road-550-W Yellow, 42",Quantity Discounts,3.4,3.0,2.8
587,"Road-550-W Yellow, 42",Corner Bicycle Supply,3.0,3.0,3.0
588,"Road-550-W Yellow, 42",General Supplies,2.2,2.3,2.4
589,"Road-550-W Yellow, 42","Health Spa, Limited",1.5,1.9,2.1
590,"Road-550-W Yellow, 42",Retail Mall,2.1,2.1,2.2
591,"Road-550-W Yellow, 42",Sundry Sporting Goods,2.7,3.1,3.4
592,"Road-550-W Yellow, 42",Reasonable Bicycle Sales,4.9,4.7,4.7
593,"Road-550-W Yellow, 42",Lease-a-Bike Shop,1.3,1.5,1.6
594,"Road-550-W Yellow, 42",Metropolitan Equipment,2.2,2.4,2.5
595,"Road-550-W Yellow, 42",Riders Company,1.3,1.6,1.7
596,"Road-550-W Yellow, 42",First Bike Store,6.4,5.9,5.6
597,"Road-550-W Yellow, 42",Outdoor Equipment Store,3.3,4.1,4.4
598,"Road-550-W Yellow, 42",Seventh Bike Store,1.1,1.1,1.2
599,"Road-550-W Yellow, 42",New and Used Bicycles,1.4,1.7,1.9
600,"Road-550-W Yellow, 42",Excellent Riding Supplies,4.8,4.6,4.5
601,"Road-550-W Yellow, 42",Fitness Toy Store,1.4,1.7,1.9
602,"Road-550-W Yellow, 42",Modular Cycle Systems,3.7,3.5,3.4
603,"Road-550-W Yellow, 42",Sheet Metal Manufacturing,3.3,3.5,3.6
604,"Road-550-W Yellow, 42",Totes & Baskets Company,3.2,3.3,3.4
605,"Road-550-W Yellow, 42",Bulk Discount Store,3.8,3.6,3.6
606,"Road-550-W Yellow, 42",Uttermost Bike Shop,1.3,1.5,1.6
607,"Road-550-W Yellow, 42",Mail-Order Outlet,2.3,2.6,2.7
608,"Road-550-W Yellow, 42",Thorough Parts and Repair Services,5.5,5.0,4.7
609,"Road-550-W Yellow, 42",Good Bike Shop,1.6,2.0,2.2
610,"Road-550-W Yellow, 44",Area Bike Accessories,3.7,3.4,3.2
611,"Road-550-W Yellow, 44",Farthermost Bike Shop,1.8,2.2,2.4
612,"Road-550-W Yellow, 44",Mountain Bike Center,4.4,4.0,3.8
613,"Road-550-W Yellow, 44",Quantity Discounts,1.1,1.1,1.2
614,"Road-550-W Yellow, 44",Corner Bicycle Supply,3.2,3.4,3.5
615,"Road-550-W Yellow, 44",General Supplies,1.8,1.7,1.7
616,"Road-550-W Yellow, 44",Sundry Sporting Goods,2.2,2.3,2.5
617,"Road-550-W Yellow, 44",Reasonable Bicycle Sales,3.2,3.3,3.5
618,"Road-550-W Yellow, 44",Riders Company,1.3,1.4,1.6
619,"Road-550-W Yellow, 44",First Bike Store,4.7,4.5,4.4
620,"Road-550-W Yellow, 44",Seventh Bike Store,2.8,2.6,2.6
621,"Road-550-W Yellow, 44",New and Used Bicycles,2.7,3.1,3.4
622,"Road-550-W Yellow, 44",Excellent Riding Supplies,4.9,4.9,4.9
623,"Road-550-W Yellow, 44",Modular Cycle Systems,2.6,3.0,3.2
624,"Road-550-W Yellow, 44",Sheet Metal Manufacturing,3.3,3.4,3.5
625,"Road-550-W Yellow, 44",Totes & Baskets Company,3.1,3.7,4.1
626,"Road-550-W Yellow, 44",Bulk Discount Store,2.9,2.8,2.8
627,"Road-550-W Yellow, 44",Uttermost Bike Shop,2.5,2.2,2.0
628,"Road-550-W Yellow, 44",Mail-Order Outlet,4.6,4.3,4.1
629,"Road-550-W Yellow, 44",Thorough Parts and Repair Services,7.7,6.8,6.2
630,"Road-550-W Yellow, 44",Good Bike Shop,3.4,3.0,2.8
631,"Road-550-W Yellow, 48",Eastside Department Store,2.1,2.8,3.2
632,"Road-550-W Yellow, 48",Farthermost Bike Shop,1.7,2.1,2.4
633,"Road-550-W Yellow, 48",Mountain Bike Center,3.9,3.8,3.7
634,"Road-550-W Yellow, 48",Number 1 Supply,1.7,2.2,2.5
635,"Road-550-W Yellow, 48",Quantity Discounts,2.7,2.5,2.4
636,"Road-550-W Yellow, 48",Citywide Service and Repair,1.4,1.7,1.9
637,"Road-550-W Yellow, 48",Corner Bicycle Supply,3.2,3.4,3.5
638,"Road-550-W Yellow, 48",Custom Accessories Company,2.6,2.4,2.2
639,"Road-550-W Yellow, 48",General Supplies,2.0,2.0,2.0
640,"Road-550-W Yellow, 48","Health Spa, Limited",9.8,9.6,9.4
641,"Road-550-W Yellow, 48",Retail Mall,6.1,6.2,6.3
642,"Road-550-W Yellow, 48",Sundry Sporting Goods,1.8,1.7,1.6
643,"Road-550-W Yellow, 48",Futuristic Sport Distributors,3.4,3.1,3.0
644,"Road-550-W Yellow, 48",Reasonable Bicycle Sales,5.4,5.0,4.7
645,"Road-550-W Yellow, 48",Lease-a-Bike Shop,2.1,2.6,2.9
646,"Road-550-W Yellow, 48",Rally Day Mall,2.5,2.7,2.9
647,"Road-550-W Yellow, 48",Getaway Inn,2.1,2.7,3.1
648,"Road-550-W Yellow, 48",Metropolitan Equipment,2.4,2.8,3.1
649,"Road-550-W Yellow, 48",Racing Sales and Service,5.4,5.1,4.9
650,"Road-550-W Yellow, 48",Exhilarating Cycles,3.1,3.1,3.1
651,"Road-550-W Yellow, 48",Friendly Bike Shop,2.5,3.0,3.3
652,"Road-550-W Yellow, 48",First Bike Store,3.4,3.6,3.8
653,"Road-550-W Yellow, 48",Outdoor Equipment Store,7.5,8.0,8.3
654,"Road-550-W Yellow, 48",Seventh Bike Store,2.9,2.8,2.8
655,"Road-550-W Yellow, 48",Bike Dealers Association,2.9,2.9,2.9
656,"Road-550-W Yellow, 48",Larger Cycle Shop,2.1,2.2,2.3
657,"Road-550-W Yellow, 48",New and Used Bicycles,1.6,2.1,2.3
658,"Road-550-W Yellow, 48",Bike Boutique,3.3,3.4,3.6
659,"Road-550-W Yellow, 48",Convenient Sales and Service,3.1,3.2,3.3
660,"Road-550-W Yellow, 48",Excellent Riding Supplies,3.8,3.7,3.6
661,"Road-550-W Yellow, 48",Advanced Bike Components,2.3,2.5,2.6
662,"Road-550-W Yellow, 48",Fitness Toy Store,4.5,4.7,4.8
663,"Road-550-W Yellow, 48",Modular Cycle Systems,3.3,3.6,3.8
664,"Road-550-W Yellow, 48",Sheet Metal Manufacturing,3.8,3.6,3.5
665,"Road-550-W Yellow, 48",Totes & Baskets Company,3.0,4.0,4.5
666,"Road-550-W Yellow, 48",Bulk Discount Store,4.4,3.9,3.6
667,"Road-550-W Yellow, 48",Prosperous Tours,1.6,2.0,2.3
668,"Road-550-W Yellow, 48",Uttermost Bike Shop,1.4,1.6,1.8
669,"Road-550-W Yellow, 48",Sales and Supply Company,3.3,3.6,3.8
670,"Road-550-W Yellow, 48",Mail-Order Outlet,1.5,1.9,2.1
671,"Road-550-W Yellow, 48",Thorough Parts and Repair Services,3.7,3.5,3.4
672,"Road-550-W Yellow, 48",Good Bike Shop,1.1,1.1,1.2
673,"Road-650 Black, 52",Affordable Sports Equipment,1.9,1.9,1.8
674,"Road-650 Black, 52",Farthermost Bike Shop,3.1,3.5,3.6
675,"Road-650 Black, 52",Preferred Bikes,3.3,3.5,3.7
676,"Road-650 Black, 52",Separate Parts Corporation,1.1,1.3,1.4
677,"Road-650 Black, 52",Corner Bicycle Supply,3.6,3.3,3.2
678,"Road-650 Black, 52",General Bike Corporation,2.8,2.7,2.6
679,"Road-650 Black, 52","Health Spa, Limited",9.5,8.7,8.4
680,"Road-650 Black, 52",Metal Processing Company,1.3,1.5,1.6
681,"Road-650 Black, 52",Primary Bike Distributors,10.5,10.0,9.6
682,"Road-650 Black, 52",Retail Mall,9.6,9.4,9.2
683,"Road-650 Black, 52",Rewarding Activities Company,6.4,6.6,6.8
684,"Road-650 Black, 52",Sundry Sporting Goods,4.8,4.6,4.4
685,"Road-650 Black, 52",Tenth Bike Store,3.7,3.4,3.2
686,"Road-650 Black, 52",Fun Times Club,3.0,3.0,3.0
687,"Road-650 Black, 52",Lease-a-Bike Shop,2.6,3.0,3.3
688,"Road-650 Black, 52",Painters Bicycle Specialists,5.9,5.8,5.7
689,"Road-650 Black, 52",Sunny Place Bikes,2.0,2.5,2.7
690,"Road-650 Black, 52",Friendly Bike Shop,7.3,6.8,6.4
691,"Road-650 Black, 52",Small Cycle Store,1.4,1.6,1.7
692,"Road-650 Black, 52",Riders Company,3.1,2.5,2.3
693,"Road-650 Black, 52",First Bike Store,3.4,3.6,3.8
694,"Road-650 Black, 52",Remarkable Bike Store,3.8,3.7,3.6
695,"Road-650 Black, 52",Retail Sales and Service,2.6,2.3,2.2
696,"Road-650 Black, 52",Seventh Bike Store,3.0,2.7,2.6
697,"Road-650 Black, 52",Bike Dealers Association,3.2,3.9,4.5
698,"Road-650 Black, 52",Famous Bike Sales and Service,1.2,1.3,1.4
699,"Road-650 Black, 52",Larger Cycle Shop,5.8,5.7,5.6
700,"Road-650 Black, 52",New and Used Bicycles,1.9,1.9,1.9
701,"Road-650 Black, 52",Excellent Riding Supplies,2.4,2.6,2.8
702,"Road-650 Black, 52",Fitness Toy Store,15.0,13.5,12.5
703,"Road-650 Black, 52",Totes & Baskets Company,3.3,2.7,2.6
704,"Road-650 Black, 52",Sure & Reliable Sporting Goods,2.9,2.8,2.8
705,"Road-650 Black, 52",Thorough Parts and Repair Services,2.2,2.2,2.3
706,"Road-650 Black, 52",Good Bike Shop,1.9,1.9,1.9
707,"Road-650 Red, 52",Affordable Sports Equipment,1.6,1.9,1.9
708,"Road-650 Red, 52",Farthermost Bike Shop,6.4,6.0,5.7
709,"Road-650 Red, 52",Preferred Bikes,3.0,3.0,3.0
710,"Road-650 Red, 52",Corner Bicycle Supply,3.6,3.4,3.3
711,"Road-650 Red, 52","Health Spa, Limited",3.8,3.6,3.6
712,"Road-650 Red, 52",National Manufacturing,3.4,3.1,2.9
713,"Road-650 Red, 52",Primary Bike Distributors,1.4,1.8,2.0
714,"Road-650 Red, 52",Retail Mall,3.7,3.4,3.3
715,"Road-650 Red, 52",Rewarding Activities Company,2.2,2.3,2.4
716,"Road-650 Red, 52",Sundry Sporting Goods,1.1,1.1,1.1
717,"Road-650 Red, 52",Fun Times Club,1.3,1.5,1.6
718,"Road-650 Red, 52",Riders Company,2.8,2.6,2.6
719,"Road-650 Red, 52",First Bike Store,2.0,2.0,1.9
720,"Road-650 Red, 52",Retail Sales and Service,2.9,2.4,2.3
